,P,AL,C,NI,WH,L,PP,PF,SF,TA,ZN,RB,AU,RM,OI,CS,WR,SP,CU,LR,CF,RR,FB,I,A,SS,RU,JD,M,JM,BC,J,LH,Y,MA,CJ,PG,FU,HC,BU,EG,FG,RS,SM,ZC,AP,SR,V,SA,SN,UR,BB,NR,B,LU,PK,AG,PB,EB,JR,SI,RI,CY,SC
2010-04-02,6830.103458468814,16673.21592482486,1886.0419507079182,,,11294.25106970513,,,,8565.460206576225,19244.266425677488,4751.12981018539,247.78521376269583,,,,4515.0,,62979.39035194634,,17138.798965852227,,,,3828.0,,24591.733870967742,,2855.151832460733,,,,,7689.867681806249,,,,4672.392173364191,,,,,,,,,5099.4575163398695,7498.914667508417,,,,,,3945.081976323616,,,,,,,,,,
2010-04-06,6826.073898906296,16791.67571825168,1888.0367068694284,,,11294.25106970513,,,,8637.438863774343,19410.33369940161,4784.464191849918,248.72439965357057,,,,4563.0,,63258.41296742965,,17201.2923075691,,,,3828.0,,25191.532258064515,,2853.120418848168,,,,,7697.85508007351,,,,4706.6042499474015,,,,,,,,,5095.509803921569,7542.149921837421,,,,,,3976.3921507388827,,,,,,,,,,
2010-04-07,6928.827667750516,16752.18912044274,1889.0340849501833,,,11294.25106970513,,,,8606.31295795894,19415.21803098173,4804.072651652582,250.50285804267378,,,,4594.0,,63049.14600581717,,17196.08452909269,,,,3864.0,,25292.33870967742,,2876.4816753926702,,,,,7825.6534523496985,,,,4702.694298337892,,,,,,,,,5107.352941176471,7594.99301046176,,,,,,3976.3921507388827,,,,,,,,,,
2010-04-08,6916.738989062961,16574.49943030251,1868.089145254326,,,11294.25106970513,,,,8551.842622781985,18951.20653087022,4781.522922879519,252.05151562869065,,,,4580.0,,61992.84610434465,,17149.21452280504,,,,3862.0,,24858.870967741936,,2863.277486910995,,,,,7793.703859280651,,,,4674.347149168946,,,,,,,,,5082.679738562092,7619.012596200096,,,,,,3997.60226889116,,,,,,,,,,
2010-04-09,6961.064144250665,16658.408450646508,1870.0839014158364,,,11519.743929603756,,,,8590.750005051239,19117.273804594337,4834.465764346711,254.74917723013934,,,,4610.0,,62909.63469807552,,17060.682288706135,,,,3890.0,,25095.766129032258,,2873.4345549738223,,,,,7849.615647151483,,,,4702.694298337892,,,,,,,,,5135.973856209151,7638.228264790764,,,,,,3968.312105728491,,,,,,,,,,
2010-04-12,6991.285840969553,16863.765995385915,1871.0812794965914,,,11500.135854829961,,,,8588.804635937777,19244.266425677488,4846.230840228309,256.2278954413038,,,,4644.0,,62869.77432443504,,17107.55229499379,,,,3930.0,,25267.137096774193,,2897.8115183246077,,,,,7869.584142819638,,,,4706.6042499474015,,,,,,,,,5191.24183006536,7686.267436267435,,,,,,4030.932454559025,,,,,,,,,,
2010-04-13,6944.94590600059,16829.539737929346,1882.0524383848976,,,11500.135854829961,,,,8557.678730122374,19087.96781511361,4844.269994248042,254.1297141957326,,,,4670.0,,62451.24040121008,,17107.55229499379,,,,3945.0,,25221.774193548386,,2915.0785340314137,,,,,7823.656602782883,,,,4704.649274142647,,,,,,,,,5176.437908496732,7671.855684824434,,,,,,4030.932454559025,,,,,,,,,,
2010-04-14,6967.108483594442,16907.77118354436,1886.0419507079182,,,11637.392378246517,,,,8584.91389771085,19195.423109876276,4809.955189593381,254.22962758837883,,,,4650.0,,62580.78661554162,,17149.21452280504,,,,3939.0,,25463.709677419356,,2912.0314136125658,,,,,7831.644001050145,,,,4709.536713654535,,,,,,,,,5193.21568627451,7647.836099086098,,,,,,4030.932454559025,,,,,,,,,,
2010-04-15,6965.093703813183,16873.54492608779,1887.0393287886732,,,11681.510546487552,,,,8586.859266824315,19190.538778296155,4789.366306800584,253.38616473338226,,,,4628.0,,62640.57717600233,,17133.59118737582,,,,3929.0,,25574.59677419355,,2907.9685863874347,,,,,7829.647151483329,,,,4718.334104775931,,,,,,,,,5154.725490196079,7748.718359187108,,,,,,4030.932454559025,,,,,,,,,,
2010-04-16,7001.359739875849,16824.65027257841,1891.0288411116937,,,11657.000453020311,,,,8565.460206576225,19351.721720440157,4808.974766603248,253.38616473338226,,,,4650.0,,62311.72909346843,,17237.74675690394,,,,3953.0,,25347.782258064515,,2926.251308900524,,,,,7883.562089787346,,,,4715.378372407102,,,,,,,,,5176.437908496732,7720.265292996703,,,,,,4030.932454559025,,,,,,,,,,
